8,1,1
6,1,2
9,2,3
10,2,4
1,2,5
3,3,6
2,4,7
11,5,8
12,5,9
1,5,10
13,6,11
14,6,12
1,6,13
13,7,14
1,7,15
11,8,16
14,8,17
1,8,18
4,9,19
11,10,20
14,10,21
1,10,22
15,11,23
2,11,24
3,12,25
3,13,26
3,14,27
3,15,28
16,16,29
1,16,30
9,17,31
1,17,32
11,18,33
14,18,34
1,18,35
9,19,36
10,19,37
1,19,38
11,20,39
14,20,40
1,20,41
11,21,42
12,21,43
1,21,44
2,22,45
11,23,46
14,23,47
1,23,48
15,24,49
2,24,50
17,25,51
1,25,52
4,26,53
18,27,54
1,27,55
3,28,56
19,29,57
20,29,58
1,29,59
3,30,60
21,31,61
1,31,62
22,32,63
1,32,64
21,33,65
1,33,66
3,34,67
9,35,68
1,35,69
21,36,70
1,36,71
2,37,72
13,38,73
1,38,74
11,39,75
10,39,76
1,39,77
23,40,78
1,40,79
11,41,80
24,41,81
1,41,82
13,42,83
24,42,84
1,42,85
25,43,86
24,43,87
1,43,88
2,44,89
26,45,90
1,45,91
11,46,92
24,46,93
1,46,94
4,47,95
3,48,96
15,49,97
2,49,98
3,50,99
27,51,100
28,51,101
1,51,102
29,52,103
1,52,104
30,53,105
1,53,106
3,54,107
4,55,108
31,56,109
6,56,110
32,57,111
1,57,112
33,58,113
1,58,114
25,59,115
1,59,116
25,60,117
1,60,118
4,61,119
3,62,120
2,63,121
3,64,122
3,65,123
25,66,124
28,66,125
1,66,126
4,67,127
4,68,128
34,69,129
1,69,130
35,70,131
1,70,132
4,71,133
25,72,134
24,72,135
1,72,136
4,73,137
15,74,138
2,74,139
3,75,140
36,76,141
24,76,142
1,76,143
37,77,144
1,77,145
37,78,146
1,78,147
13,79,148
1,79,149
38,80,150
1,80,151
2,81,152
39,82,153
1,82,154
40,83,155
1,83,156
3,84,157
15,85,158
2,85,159
15,86,160
2,86,161
4,87,162
11,88,163
24,88,164
1,88,165
4,89,166
4,90,167
40,91,168
28,91,169
1,91,170
41,92,171
1,92,172
4,93,173
42,94,174
1,94,175
11,95,176
28,95,177
1,95,178
11,96,179
12,96,180
1,96,181
43,97,182
6,97,183
44,98,184
1,98,185
15,99,186
2,99,187
4,100,188
3,101,189
4,102,190
45,103,191
1,103,192
46,104,193
1,104,194
3,105,195
47,106,196
1,106,197
4,107,198
11,108,199
10,108,200
1,108,201
48,109,202
1,109,203
4,110,204
49,111,205
1,111,206
40,112,207
50,112,208
1,112,209
40,113,210
1,113,211
46,114,212
1,114,213
3,115,214
46,116,215
1,116,216
4,117,217
51,118,218
1,118,219
46,119,220
52,119,221
1,119,222
53,120,223
